;92997968.85228157;single;Started RNN_native_tau=9_rho=512 2022-02-02_12:25:44.688322
26;93895296.02694511;_cluster;Already done
26;93895296.1153984;single;Training
26;93895296.6439724;_train;Reading Data
26;93897762.11643219;_train;Training model
26;93926668.75624657;_train;Finished training
26;93926670.78471184;single;Clustering - Predicting
26;93926672.10173607;_cluster;Loading data
26;93928525.3777504;_cluster;Determining k
26;93928526.43036842;_cluster;Native clustering: 64991 -> 127 (512 ~= 511.74)
26;93928526.51071548;_cluster;Creating clusterable
26;93947323.86040688;_cluster;Clustering
26;93951137.32814789;_cluster;Exporting clustering results
26;93951195.86253166;single;Predicting
26;93951196.1054802;_predict;Loading data
26;93953492.06709862;_predict;Using most recent model, making predictions
26;93958722.58400917;_predict;Exporting predictions
27;93958726.24897957;single;Started Time Step
27;93958726.34220123;single;Clustering - Training
27;93958727.11706161;_cluster;Already done
27;93958727.21385956;single;Training
27;93958727.81443596;_train;Reading Data
27;93961143.8858509;_train;Training model
27;94001525.93827248;_train;Finished training
27;94001528.0649662;single;Clustering - Predicting
27;94001529.43110466;_cluster;Loading data
27;94003404.57463264;_cluster;Determining k
27;94003405.62462807;_cluster;Native clustering: 65318 -> 128 (512 ~= 510.30)
27;94003405.70425987;_cluster;Creating clusterable
27;94021050.78029633;_cluster;Clustering
27;94024529.61087227;_cluster;Exporting clustering results
27;94024588.22631836;single;Predicting
27;94024588.47355843;_predict;Loading data
27;94026890.894413;_predict;Using most recent model, making predictions
27;94032205.24024963;_predict;Exporting predictions
28;94032209.14268494;single;Started Time Step
28;94032209.23995972;single;Clustering - Training
28;94032210.01529694;_cluster;Already done
28;94032210.10637283;single;Training
28;94032210.7155323;_train;Reading Data
28;94034654.78086472;_train;Training model
28;94053302.10185051;_train;Finished training
28;94053304.15034294;single;Clustering - Predicting
28;94053305.43518066;_cluster;Loading data
28;94055163.77687454;_cluster;Determining k
28;94055164.8247242;_cluster;Native clustering: 65483 -> 128 (512 ~= 511.59)
28;94055164.90387917;_cluster;Creating clusterable
28;94073987.11776733;_cluster;Clustering
28;94078023.55384827;_cluster;Exporting clustering results
28;94078082.31854439;single;Predicting
28;94078082.56864548;_predict;Loading data
28;94080373.87990952;_predict;Using most recent model, making predictions
28;94086146.30484581;_predict;Exporting predictions
29;94086150.73442459;single;Started Time Step
29;94086150.84934235;single;Clustering - Training
29;94086151.73077583;_cluster;Already done
29;94086151.82995796;single;Training
29;94086152.47797966;_train;Reading Data
29;94089003.83114815;_train;Training model
29;94107649.38139915;_train;Finished training
29;94107651.42321587;single;Clustering - Predicting
29;94107652.77457237;_cluster;Loading data
29;94109489.80879784;_cluster;Determining k
29;94109490.83852768;_cluster;Native clustering: 65490 -> 128 (512 ~= 511.64)
29;94109490.91553688;_cluster;Creating clusterable
29;94126216.06230736;_cluster;Clustering
29;94129849.69091415;_cluster;Exporting clustering results
29;94129909.2874527;single;Predicting
29;94129909.54089165;_predict;Loading data
29;94132142.0686245;_predict;Using most recent model, making predictions
29;94137154.87909317;_predict;Exporting predictions
30;94137161.0352993;single;Started Time Step
30;94137161.21435165;single;Clustering - Training
30;94137162.58478165;_cluster;Already done
30;94137162.74785995;single;Training
30;94137163.86723518;_train;Reading Data
30;94139882.02571869;_train;Training model
30;94157869.36020851;_train;Finished training
30;94157871.40130997;single;Clustering - Predicting
30;94157872.45678902;_cluster;Loading data
30;94159805.63235283;_cluster;Determining k
30;94159806.70714378;_cluster;Native clustering: 66104 -> 130 (512 ~= 508.49)
30;94159806.78462982;_cluster;Creating clusterable
30;94177588.65976334;_cluster;Clustering
30;94181367.19751358;_cluster;Exporting clustering results
30;94181430.21249771;single;Predicting
30;94181430.50813675;_predict;Loading data
30;94183697.79062271;_predict;Using most recent model, making predictions
30;94188654.69813347;_predict;Exporting predictions
31;94188657.81855583;single;Started Time Step
31;94188657.90200233;single;Clustering - Training
31;94188658.48398209;_cluster;Already done
31;94188658.55026245;single;Training
31;94188659.06572342;_train;Reading Data
31;94191041.24045372;_train;Training model
31;94209453.94611359;_train;Finished training
31;94209455.91664314;single;Clustering - Predicting
31;94209456.99071884;_cluster;Loading data
31;94211324.893713;_cluster;Determining k
31;94211325.92201233;_cluster;Native clustering: 66935 -> 131 (512 ~= 510.95)
31;94211326.00808144;_cluster;Creating clusterable
31;94228079.16879654;_cluster;Clustering
31;94232684.83424187;_cluster;Exporting clustering results
31;94232766.40629768;single;Predicting
31;94232766.7016983;_predict;Loading data
31;94235061.85698509;_predict;Using most recent model, making predictions
31;94240061.10334396;_predict;Exporting predictions
32;94240065.46497345;single;Started Time Step
32;94240065.58203697;single;Clustering - Training
32;94240066.52140617;_cluster;Already done
32;94240066.62988663;single;Training
32;94240067.46935844;_train;Reading Data
32;94242470.54100037;_train;Training model
32;94260856.31752014;_train;Finished training
32;94260858.33001137;single;Clustering - Predicting
32;94260859.42363739;_cluster;Loading data
32;94262721.78077698;_cluster;Determining k
32;94262722.81002998;_cluster;Native clustering: 66984 -> 131 (512 ~= 511.33)
32;94262722.88870811;_cluster;Creating clusterable
32;94280528.12457085;_cluster;Clustering
32;94284291.52798653;_cluster;Exporting clustering results
32;94284351.35889053;single;Predicting
32;94284351.59492493;_predict;Loading data
32;94286633.3501339;_predict;Using most recent model, making predictions
32;94292431.23459816;_predict;Exporting predictions
33;94292435.72163582;single;Started Time Step
33;94292435.8355999;single;Clustering - Training
33;94292436.76495552;_cluster;Already done
33;94292436.8724823;single;Training
33;94292437.69359589;_train;Reading Data
33;94295296.8981266;_train;Training model
33;94339204.68950272;_train;Finished training
33;94339206.71319962;single;Clustering - Predicting
33;94339207.98540115;_cluster;Loading data
33;94341096.15111351;_cluster;Determining k
33;94341097.20492363;_cluster;Native clustering: 67174 -> 132 (512 ~= 508.89)
33;94341097.28550911;_cluster;Creating clusterable
33;94357233.41989517;_cluster;Clustering
33;94360904.88219261;_cluster;Exporting clustering results
33;94360988.91973495;single;Predicting
33;94360989.20249939;_predict;Loading data
33;94363366.12057686;_predict;Using most recent model, making predictions
33;94368722.70059586;_predict;Exporting predictions
34;94368727.9214859;single;Started Time Step
34;94368728.01852226;single;Clustering - Training
34;94368728.85274887;_cluster;Already done
34;94368728.9454937;single;Training
34;94368729.70581055;_train;Reading Data
34;94371193.4390068;_train;Training model
34;94407376.91450119;_train;Finished training
34;94407378.9191246;single;Clustering - Predicting
34;94407379.986763;_cluster;Loading data
34;94409248.33512306;_cluster;Determining k
34;94409249.37057495;_cluster;Native clustering: 67321 -> 132 (512 ~= 510.01)
34;94409249.44925308;_cluster;Creating clusterable
34;94427282.89318085;_cluster;Clustering
34;94430627.44903564;_cluster;Exporting clustering results
34;94430707.19599724;single;Predicting
34;94430707.45515823;_predict;Loading data
34;94433043.1842804;_predict;Using most recent model, making predictions
34;94438242.07830429;_predict;Exporting predictions
35;94438247.88689613;single;Started Time Step
35;94438247.99990654;single;Clustering - Training
35;94438248.90446663;_cluster;Already done
35;94438249.00484085;single;Training
35;94438249.85909462;_train;Reading Data
35;94440681.47802353;_train;Training model
35;94459028.20920944;_train;Finished training
35;94459030.11059761;single;Clustering - Predicting
35;94459031.25405312;_cluster;Loading data
35;94460906.56495094;_cluster;Determining k
35;94460907.60993958;_cluster;Native clustering: 68435 -> 134 (512 ~= 510.71)
35;94460907.68837929;_cluster;Creating clusterable
35;94476655.26914597;_cluster;Clustering
35;94480535.26592255;_cluster;Exporting clustering results
35;94480596.5924263;single;Predicting
35;94480596.85611725;_predict;Loading data
35;94482935.24837494;_predict;Using most recent model, making predictions
35;94487970.12925148;_predict;Exporting predictions
36;94487975.07810593;single;Started Time Step
36;94487975.15940666;single;Clustering - Training
36;94487975.81195831;_cluster;Already done
36;94487975.88658333;single;Training
36;94487976.53150558;_train;Reading Data
36;94490435.952425;_train;Training model
36;94508814.26143646;_train;Finished training
36;94508816.24031067;single;Clustering - Predicting
36;94508817.4996376;_cluster;Loading data
36;94510708.03523064;_cluster;Determining k
36;94510709.06686783;_cluster;Native clustering: 68519 -> 134 (512 ~= 511.34)
36;94510709.14578438;_cluster;Creating clusterable
36;94529527.18949318;_cluster;Clustering
36;94533123.79956245;_cluster;Exporting clustering results
36;94533186.63954735;single;Predicting
36;94533186.87582016;_predict;Loading data
36;94535513.97943497;_predict;Using most recent model, making predictions
36;94540579.20718193;_predict;Exporting predictions
37;94540583.0976963;single;Started Time Step
37;94540583.19783211;single;Clustering - Training
37;94540584.01060104;_cluster;Already done
37;94540584.10406113;single;Training
37;94540584.91230011;_train;Reading Data
37;94543029.65426445;_train;Training model
37;94624948.81081581;_train;Finished training
37;94625032.56297112;single;Clustering - Predicting
37;94625053.52401733;_cluster;Loading data
37;94627525.77924728;_cluster;Determining k
37;94627528.46264839;_cluster;Native clustering: 68354 -> 134 (512 ~= 510.10)
37;94627528.56016159;_cluster;Creating clusterable
37;94656695.04213333;_cluster;Clustering
37;94660592.34833717;_cluster;Exporting clustering results
37;94660658.79535675;single;Predicting
37;94660659.95335579;_predict;Loading data
37;94663540.61722755;_predict;Using most recent model, making predictions
37;94669633.98098946;_predict;Exporting predictions
Wrap;94669637.37869263;single;Computing Results
Wrap;94669638.94844055;_results;Extracting predictions
Wrap;94712691.91980362;_results;Computing Statistics
Wrap;94725577.34513283;_results;Exporting results
Wrap;94725655.58481216;single;Cleanup
Wrap;94725745.32103539;single;Finished
